building_id,action,q_ij,area_m2,perimeter_m,floors,damage_level,access_index,zoning_category,building_type,defer_priority,defer_penalty_i,C_hat_ij,T_hat_ij,labor_hours,concrete_m3,steel_tons,equipment_hours,is_deferred,is_active
10001,defer,1,1652.3829673495477,165.84677341910492,2,0.372,0.8012747303724277,industrial,industrial,0.3832,76640.0,17180.57017492457,0.0,0.0,0.0,0.0,0.0,1,0
10002,defer,1,3531.360177733285,239.01846494116884,6,0.23,0.8553979154928926,commercial,commercial,0.338,67600.0,36334.885863024094,0.0,0.0,0.0,0.0,0.0,1,0
10003,defer,1,535.364476559373,96.61621719151927,1,0.158,0.8618457857263513,public,cultural,0.43479999999999996,86960.0,5501.570482811897,0.0,0.0,0.0,0.0,0.0,1,0
10005,defer,1,3575.0314825138644,239.6999271180408,3,0.666,0.8971748784194744,commercial,commercial,0.5996,119920.0,36485.520918826034,0.0,0.0,0.0,0.0,0.0,1,0
10008,defer,1,376.4782688522358,77.62053604817774,5,0.166,0.7973577572126439,mixed_use,residential,0.44460000000000005,88920.00000000001,3917.3634900441944,0.0,0.0,0.0,0.0,0.0,1,0
10009,defer,1,3894.449621667649,256.4344626181374,6,0.304,0.8766474526312389,mixed_use,public,0.5573999999999999,111479.99999999999,39905.276779540516,0.0,0.0,0.0,0.0,0.0,1,0
10010,defer,1,391.81565712750614,87.65071988835756,8,0.087,0.9185908047234884,mixed_use,residential,0.39720000000000005,79440.00000000001,3981.9513659620375,0.0,0.0,0.0,0.0,0.0,1,0
10011,defer,1,4057.415525240668,255.0806043245251,4,0.243,1.0,mixed_use,commercial,0.37079999999999996,74159.99999999999,40574.15525240668,0.0,0.0,0.0,0.0,0.0,1,0
10013,defer,1,572.5261509367078,95.94503812597101,5,0.418,0.9053989629559748,mixed_use,residential,0.5957999999999999,119159.99999999997,5833.584644593951,0.0,0.0,0.0,0.0,0.0,1,0
10015,defer,1,1385.128289881111,148.94146447123066,3,0.483,0.879007467276629,mixed_use,public,0.6648000000000001,132960.0,14186.463258690124,0.0,0.0,0.0,0.0,0.0,1,0
10016,defer,1,3670.789172754866,243.36861989643575,2,0.476,0.9952865040932578,historical,cultural,0.6055999999999999,121119.99999999999,36742.496227029245,0.0,0.0,0.0,0.0,0.0,1,0
10017,defer,1,7034.748676859446,379.5593411259123,1,0.557,0.9319680098100285,industrial,industrial,0.4942,98840.0,71304.6626745405,0.0,0.0,0.0,0.0,0.0,1,0
10018,defer,1,702.2057261394307,108.64855158832893,4,0.309,1.0,mixed_use,residential,0.5304,106080.0,7022.057261394307,0.0,0.0,0.0,0.0,0.0,1,0
10021,defer,1,621.8090166042685,100.1342927881269,4,0.849,0.7453767977453868,public,cultural,0.8493999999999999,169880.0,6534.744172039827,0.0,0.0,0.0,0.0,0.0,1,0
